code,description_es,description_pt
G532,Parálisis múltiple de los nervios craneales,Paralisias de múltiplos nervos cranianos na sarcoidose
G533,Parálisis múltiple de los nervios craneales,Paralisias de múltiplos nervos cranianos em doenças neoplásicas
G538,Otros trastornos de los nervios craneales en otras enfermedades clasificadas en otra parte,Outros transtornos de nervos cranianos em outras doenças classificadas em outra parte
G54,Trastornos de las raíces y de los plexos nerviosos,
G540,Trastornos del plexo braquial,Transtornos do plexo braquial
G541,Trastornos del plexo lumbosacro,Transtornos do plexo lombossacral
G542,Trastornos de la raíz cervical,Transtornos das raízes cervicais não classificadas em outra parte
G543,Trastornos de la raíz torácica,Transtornos das raízes torácicas não classificadas em outra parte
G544,Trastornos de la raíz lumbosacra,Transtornos das raízes lombossacras não classificadas em outra parte
G545,Amiotrofia neurálgica,Amiotrofia nevrálgica
G546,Síndrome del miembro fantasma con dolor,Síndrome dolorosa do membro fantasma
G547,Síndrome del miembro fantasma sin dolor,Síndrome do membro fantasma sem manifestação dolorosa
G548,Otros trastornos de las raíces y plexos nerviosos,Outros transtornos das raízes e dos plexos nervosos
G549,Trastorno de la raíz y plexos nerviosos,Transtorno não especificado das raízes e dos plexos nervosos
G55,Compresiones de las raíces y de los plexos nerviosos en enfermedades clasificadas en otra parte,
G550,Compresiones de las raíces y plexos nerviosos en enfermedades neoplásicas (C00–D48),Compressões das raízes e dos plexos nervosos em doenças neoplásicas
G551,Compresiones de las raíces y plexos nerviosos en trastornos de los discos intervertebrales (M50–M51),Compressões das raízes e dos plexos nervosos em transtornos dos discos intervertebrais
G552,Compresiones de las raíces y plexos nerviosos en la espondilosis (M47.–),Compressões das raízes e dos plexos nervosos na espondilose
G553,Compresiones de las raíces y plexos nerviosos en otras dorsopatías (M45–M46,Compressões das raízes e dos plexos nervosos em outras dorsopatias
G558,Compresiones de las raíces y plexos nerviosos en otras enfermedades clasificadas en otra parte,Compressões das raízes e dos plexos nervosos em outras doenças classificadas em outra parte
G56,Mononeuropatías del miembro superior,
G560,Síndrome del túnel carpiano,Síndrome do túnel do carpo
G561,Otras lesiones del nervio mediano,Outras lesões do nervo mediano
G562,Lesión del nervio cubital,Lesões do nervo cubital [ulnar]
G563,Lesión del nervio radial,Lesão do nervo radial
G564,Causalgia,Causalgia
G568,Otras mononeuropatías del miembro superior,Outras mononeuropatias dos membros superiores
G569,Mononeuropatía del miembro superior,"Mononeuropatia dos membros superiores, não especificada"
G57,Mononeuropatías del miembro inferior,
G570,Lesión del nervio ciático,Lesão do nervo ciático
G571,Meralgia parestésica,Meralgia parestésica
G572,Lesión del nervio crural,Lesão do nervo femoral
G573,Lesión del nervio ciático poplíteo externo,Lesão do nervo poplíteo lateral
G574,Lesión del nervio ciático poplíteo interno,Lesão do nervo poplíteo medial
G575,Síndrome del túnel calcáneo,Síndrome do túnel do tarso
G576,Lesión del nervio plantar,Lesão do nervo plantar
G578,Otras mononeuropatías del miembro inferior,Outras mononeuropatias dos membros inferiores
G579,Mononeuropatía del miembro inferior,"Mononeuropatia dos membros inferiores, não especificada"
G58,Otras mononeuropatías,
G580,Neuropatía intercostal,Neuropatia intercostal
G587,Mononeuritis múltiple,Mononeurite múltipla
G588,Otras mononeuropatías especificadas,Outras mononeuropatias especificadas
G589,Mononeuropatía,Mononeuropatia não especificada
G59,Mononeuropatía en enfermedades clasificadas en otra parte,
G590,Mononeuropatía diabética (E10–E14 con cuarto carácter común .4),Mononeuropatia diabética
G598,Otras mononeuropatías en enfermedades clasificadas en otra parte,Outras mononeuropatias em doenças classificadas em outra parte
G60,Neuropatía hereditaria e idiopática,
G60-G64,Polineuropatías y otros trastornos del sistema nervioso periférico,
G600,Neuropatía hereditaria motora y sensorial,Neuropatia hereditária motora e sensorial
G601,Enfermedad de Refsum,Doença de Refsum
G602,Neuropatía asociada con ataxia hereditaria,Neuropatia associada a ataxia hereditária
G603,Neuropatía progresiva idiopática,Neuropatia progressiva idiopática
G608,Otras neuropatías hereditarias e idiopáticas,Outras neuropatias hereditárias e idiopáticas
G609,Neuropatía hereditaria e idiopática,Neuropatia hereditária e idiopática não especificada
G61,Polineuropatía inflamatoria,
G610,Síndrome de Guillain–Barré,Síndrome de Guillain-Barré
G611,Neuropatía al suero,Neuropatia sérica
G618,Otras polineuropatías inflamatorias,Outras polineuropatias inflamatórias
G619,Polineuropatía inflamatoria,Polineuropatia inflamatória não especificada
G62,Otras polineuropatías,
G620,Polineuropatía inducida por drogas,Polineuropatia induzida por drogas
G621,Polineuropatía alcohólica,Polineuropatia alcoólica
G622,Polineuropatía debida a otro agente tóxico,Polineuropatia devida a outros agentes tóxicos
G628,Otras polineuropatías especificadas,Outras polineuropatias especificadas
G629,Polineuropatía,Polineuropatia não especificada
G63,Polineuropatías en enfermedades clasificadas en otra parte,
G630,Polineuropatía en enfermedades infecciosas y parasitarias clasificadas en otra parte,Polineuropatia em doenças infecciosas e parasitárias classificadas em outra parte
G631,Polineuropatía en enfermedad neoplásica (C00–D48),Polineuropatia em doenças neoplásicas
G632,Polineuropatía diabética (E10–E14 con cuarto carácter común .4),Polineuropatia diabética
G633,Polineuropatía en otras enfermedades endocrinas y metabólicas (E00–E07,Polineuropatia em outras doenças endócrinas e metabólicas
G634,Polineuropatía en deficiencia nutricional (E40–E64),Polineuropatia em deficiências nutricionais
G635,Polineuropatía en trastornos del tejido conectivo sistémico (M30–M35),Polineuropatia em doenças sistêmicas do tecido conjuntivo
G636,Polineuropatía en otros trastornos osteomusculares (M00–M25,Polineuropatia em outros transtornos osteomusculares
G638,Polineuropatía en otras enfermedades clasificadas en otra parte,Polineuropatia em outras doenças classificadas em outra parte
G64,Otros trastornos del sistema nervioso periférico,Outros transtornos do sistema nervoso periférico
G70,Miastenia gravis y otros trastornos neuromusculares,
G70-G73,Enfermedades musculares y de la unión neuromuscular,
G700,Miastenia gravis,Miastenia gravis
G701,Trastornos tóxicos neuromusculares,Transtornos mioneurais tóxicos
G702,Miastenia congénita o del desarrollo,Miastenia congênita e do desenvolvimento
G708,Otros trastornos neuromusculares especificados,Outros transtornos mioneurais especificados
G709,Trastorno neuromuscular,Transtorno mioneural não especificado
G71,Trastornos musculares primarios,
G710,Distrofia muscular,Distrofia muscular
G711,Trastornos miotónicos,Transtornos miotônicos
G712,Miopatías congénitas,Miopatias congênitas
G713,Miopatía mitocóndrica,Miopatia mitocondrial não classificada em outra parte
G718,Otros trastornos primarios de los músculos,Outros transtornos primários dos músculos
G719,Trastorno primario del músculo,Transtorno muscular primário não especificado
G72,Otras miopatías,
G720,Miopatía inducida por drogas,Miopatia induzida por drogas
G721,Miopatía alcohólica,Miopatia alcoólica
G722,Miopatía debida a otros agentes tóxicos,Miopatia devida a outros agentes tóxicos
G723,Parálisis periódica,Paralisia periódica
G724,Miopatía inflamatoria,Miopatia inflamatória não classificada em outra parte
G728,Otras miopatías especificadas,Outras miopatias especificadas
G729,Miopatía,Miopatia não especificada
G730,,Síndromes miastênicas em doenças endócrinas
G731,,Síndrome de Eaton-Lambert
G732,,Outras síndromes miastênicas em doenças neoplásicas
G733,,Síndromes miastênicas em outras doenças classificadas em outra parte
G734,,Miopatia em doenças infecciosas e parasitárias classificadas em outra parte
G735,,Miopatia em doenças endócrinas
G736,,Miopatia em doenças metabólicas
G737,,Miopatia em outras doenças classificadas em outra parte
G80,Parálisis cerebral,
G80-G83,Parálisis cerebral y otros síndromes paralíticos,
G800,Parálisis cerebral espástica cuadripléjica,Paralisia cerebral quadriplágica espástica
G801,Parálisis cerebral espástica dipléjica,Paralisia cerebral diplégica espástica
G802,Parálisis cerebral espástica hemipléjica,Paralisia cerebral hemiplégica espástica
G803,Parálisis cerebral discinética,Paralisia cerebral discinética
G804,Parálisis cerebral atáxica,Paralisia cerebral atáxica
G808,Otros tipos de parálisis cerebral,Outras formas de paralisia cerebral
G809,Parálisis cerebral,Paralisia cerebral não especificada
G81,Hemiplejía,
G810,Hemiplejía flácida,Hemiplegia flácida
G811,Hemiplejía espástica,Hemiplegia espástica
G819,Hemiplejía,Hemiplegia não especificada
G82,Paraplejía y cuadriplejía,
G820,Paraplejía flácida,Paraplegia flácida
G821,Paraplejía espástica,Paraplegia espástica
G822,Paraplejía,Paraplegia não especificada
G823,Cuadriplejía flácida,Tetraplegia flácida
G824,Cuadriplejía espástica,Tetraplegia espástica
G825,Cuadriplejía,Tetraplegia não especificada
G83,Otros síndromes paralíticos,
G830,Diplejía de los miembros superiores,Diplegia dos membros superiores
G831,Monoplejía de miembro inferior,Monoplegia do membro inferior
G832,Monoplejía de miembro superior,Monoplegia do membro superior
G833,Monoplejía,Monoplegia não especificada
G834,Síndrome de la cola de caballo,Síndrome da cauda eqüina
G838,Otros síndromes paralíticos especificados,Outras síndromes paralíticas especificadas
G839,Síndrome paralítico,Síndrome paralítica não especificada
G90,Trastornos del sistema nervioso autónomo,
G90-G99,Otros trastornos del sistema nervioso,
G900,Neuropatía autónoma periférica idiopática,Neuropatia autonômica periférica idiopática
G901,Disautonomía familiar [Síndrome de Riley–Day],Disautonomia familiar [Síndrome de Riley-Day]
G902,Síndrome de Horner,Síndrome de Horner
G903,Degeneración de sistemas múltiples,Degeneração multissistêmica
G904,Disreflexia autonómica,Disreflexia autonômica
G908,Otros trastornos del sistema nervioso autónomo,Outros transtornos do sistema nervoso autônomo
G909,Trastorno del sistema nervioso autónomo,Transtorno não especificado do sistema nervoso autônomo
G91,Hidrocéfalo,
G910,Hidrocéfalo comunicante,Hidrocefalia comunicante
G911,Hidrocéfalo obstructivo,Hidrocefalia obstrutiva
G912,Hidrocéfalo de presión normal,Hidrocefalia de pressão normal
G913,Hidrocéfalo postraumático,Hidrocefalia pós-traumática não especificada
G918,Otros tipos de hidrocéfalo,Outras formas de hidrocefalia
G919,Hidrocéfalo,Hidrocefalia não especificada
G92,Encefalopatía tóxica,Encefalopatia tóxica
G93,Otros trastornos del encéfalo,
G930,Quiste cerebral,Cistos cerebrais
G931,Lesión cerebral anóxica,"Lesão encefálica anóxica, não classificada em outra parte"
G932,Hipertensión intracraneal benigna,Hipertensão intracraniana benigna
G933,Síndrome de fatiga postviral,Síndrome da fadiga pós-viral
G934,Encefalopatía no especificada,Encefalopatia não especificada
G935,Compresión del encéfalo,Compressão do encéfalo
G936,Edema cerebral,Edema cerebral
G937,Síndrome de Reye,Síndrome de Reye
G938,Otros trastornos especificados del encéfalo,Outros transtornos especificados do encéfalo
G939,Trastorno del encéfalo,Transtorno não especificado do encéfalo
G94,Otros trastornos del encéfalo en enfermedades clasificadas en otra parte,
G940,Hidrocéfalo en enfermedades infecciosas y parasitarias clasificadas en otra parte (A00–B99),Hidrocefalia em doenças infecciosas e parasitárias classificadas em outra parte
G941,Hidrocéfalo en enfermedad neoplásica (C00–D48),Hidrocefalia em doenças neoplásicas
G942,Hidrocéfalo en otras enfermedades clasificadas en otra parte,Hidrocefalia em outras doenças classificadas em outra parte
G948,Otros trastornos encefálicos especificados en enfermedades clasificadas en otra parte,Outros transtornos encefálicos especificados em doenças classificadas em outra parte
G95,Otras enfermedades de la médula espinal,
G950,Siringomielia y siringobulbia,Siringomielia e siringobulbia
G951,Mielopatías vasculares,Mielopatias vasculares
G952,Compresión medular,Compressão não especificada de medula espinal
G958,Otras enfermedades especificadas de la médula espinal,Outras doenças especificadas da medula espinal
G959,Enfermedad de la médula espinal,Doença não especificada da medula espinal
G96,Otros trastornos del sistema nervioso central,
G960,Pérdida de líquido cefalorraquídeo,Fístula liquórica
G961,Trastornos de las meninges,Transtornos das meninges não classificados em outra parte
G968,Otros trastornos especificados del sistema nervioso central,Outros transtornos especificados do sistema nervoso central
G969,Trastorno del sistema nervioso central,Transtorno não especificado do sistema nervoso central
G97,Trastornos del sistema nervioso consecutivos a procedimientos,
G970,Pérdida de líquido cefalorraquídeo por punción espinal,Perda de líquor resultante de punção espinal
G971,Otra reacción a la punción espinal y lumbar,Outra reação à punção espinal e lombar
G972,Hipotensión intracraneal posterior a anastomosis ventricular,Hipotensão intracraniana conseqüente à derivação ventricular
G978,Otros trastornos del sistema nervioso consecutivos a procedimientos,Outros transtornos pós-procedimento do sistema nervoso
G979,Trastornos no especificados del sistema nervioso,"Transtorno pós-procedimento do sistema nervoso, não especificado"
G98,Otros trastornos del sistema nervioso,Outros transtornos do sistema nervoso não classificados em outra parte
G99,Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte,
G990,Neuropatía autonómica en enfermedades metabólicas y endocrinas,Neuropatia autonômica em doenças endócrinas e metabólicas
G991,Otros trastornos del sistema nervioso autónomo en otras enfermedades clasificadas en otra parte,Outros transtornos do sistema nervoso autônomo em doenças classificadas em outra parte
G992,Mielopatía en enfermedades clasificadas en otra parte,Mielopatia em doenças classificadas em outra parte
G998,Otros trastornos especificados del sistema nervioso en enfermedades clasificadas en otra parte,Outros transtornos especificados do sistema nervoso em doenças classificadas em outra parte
H00,Orzuelo y calacio,
H00-H06,Trastornos del párpado,
H00-H59,Enfermedades del ojo y sus anexos,
H000,Orzuelo y otras inflamaciones profundas del párpado,Hordéolo e outras inflamações profundas das pálpebras
H001,Calacio [chalazión],Calázio
H01,Otras inflamaciones del párpado,
H010,Blefaritis,Blefarite
H011,Dermatosis no infecciosa del párpado,Dermatoses não infecciosas da pálpebra
H018,Otras inflamaciones especificadas del párpado,Outras inflamações especificadas da pálpebra
H019,Inflamación del párpado,Inflamação não especificada da pálpebra
H02,Otros trastornos de los párpados,
H020,Entropión y triquiasis palpebral,Entrópio e triquíase da pálpebra
H021,Ectropión del párpado,Ectrópio da pálpebra
H022,Lagoftalmos,Lagoftalmo
H023,Blefarocalasia,Blefarocalásia
H024,Blefaroptosis,Ptose da pálpebra
H025,Otros trastornos funcionales del párpado,Outros transtornos que afetam a função da pálpebra
H026,Xantelasma del párpado,Xantelasma da pálpebra
H027,Otros trastornos degenerativos del párpado y del área periocular,Outros transtornos degenerativos da pálpebra e da área periocular
H028,Otros trastornos especificados del párpado,Outros transtornos especificados das pálpebras
H029,Trastorno del párpado,Transtorno não especificado da pálpebra
H03,Trastornos del párpado en enfermedades clasificadas en otra parte,
H030,Infección e infestación parasitarias del párpado en,Infestação parasitária da pálpebra em doenças classificadas em outra parte
H031,Compromiso del párpado en enfermedades infecciosas,Comprometimento da pálpebra em outras doenças infecciosas classificadas em outra parte
H038,Compromiso del párpado en enfermedades clasificadas en otra parte,Comprometimento da pálpebra em outras doenças classificadas em outras partes
H04,Trastornos del aparato lagrimal,
H040,Dacrioadenitis,Dacrioadenite
H041,Otros trastornos de la glándula lagrimal,Outros transtornos da glândula lacrimal
H042,Epífora,Epífora
H043,Inflamación aguda y la no especificada de las vías lagrimales,Inflamação aguda e não especificada dos canais lacrimais
H044,Inflamación crónica de las vías lagrimales,Inflamação crônica dos canais lacrimais
H045,Estenosis e insuficiencia de las vías lagrimales,Estenose e insuficiência dos canais lacrimais
H046,Otros cambios de las vías lagrimales,Outras alterações nos canais lacrimais
H048,Otros trastornos especificados del aparato lagrimal,Outros transtornos do aparelho lacrimal
H049,Trastorno del aparato lagrimal,Transtorno não especificado do aparelho lacrimal
H05,Trastornos de la órbita,
H050,Inflamación aguda de la órbita,Inflamação aguda da órbita
H051,Trastornos inflamatorios crónicos de la órbita,Transtornos inflamatórios crônicos da órbita
H052,Afecciones exoftálmicas,Afecções exoftálmicas
H053,Deformidad de la órbita,Deformidade da órbita
H054,Enoftalmia,Enoftalmia
H055,Retención de cuerpo extraño (antiguo),Corpo estranho (antigo) retido conseqüente a ferimento perfurante da órbita
H058,Otros trastornos de la órbita,Outros transtornos da órbita
H059,Trastorno de la órbita,Transtorno não especificado da órbita
H06,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte,
H060,Trastornos del aparato lagrimal en enfermedades clasificadas en otra parte,Transtornos do aparelho lacrimal em doenças classificadas em outra parte
H061,Infección e infestación parasitarias de la órbita en enfermedades clasificadas en otra parte,Infestação parasitária da órbita em doenças classificadas em outra parte
H062,Exoftalmia hipertiroidea (E05.–),Exoftalmo distireoídeo
H063,Otros trastornos de la órbita en enfermedades clasificadas en otra parte,Outros transtornos da órbita em doenças classificadas em outra parte
H10,Conjuntivitis,
H10-H13,Trastornos de la conjuntiva,
H100,Conjuntivitis mucopurulenta,Conjuntivite mucopurulenta
H101,Conjuntivitis atópica aguda,Conjuntivite aguda atópica
H102,Otras conjuntivitis agudas,Outras conjuntivites agudas
H103,Conjuntivitis aguda,Conjuntivite aguda não especificada
H104,Conjuntivitis crónica,Conjuntivite crônica
H105,Blefaroconjuntivitis,Blefaroconjuntivite
H108,Otras conjuntivitis,Outras conjuntivites
H109,Conjuntivitis,Conjuntivite não especificada
H11,Otros trastornos de la conjuntiva,
H110,Pterigión,Pterígio
H111,Degeneraciones y depósitos conjuntivales,Degenerações e depósitos da conjuntiva
H112,Cicatrices conjuntivales,Cicatrizes da conjuntiva
H113,Hemorragia conjuntival,Hemorragia conjuntival
H114,Otros trastornos vasculares y quistes conjuntivales,Outros transtornos vasculares e cistos conjuntivais
H118,Otros trastornos especificados de la conjuntiva,Outros transtornos especificados da conjuntiva
H119,Trastorno de la conjuntiva,Transtorno não especificado da conjuntiva
H13,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte,
H130,Infección filárica de la conjuntiva (B74.–),Infestação por filárias na conjuntiva
H131,Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte,Conjuntivite em doenças infecciosas e parasitárias classificadas em outra parte
H132,Conjuntivitis en otras enfermedades clasificadas en otra parte,Conjuntivite em outras doenças classificadas em outra parte
H133,Penfigoide ocular (L12.–),Penfigóide ocular
H138,Otros trastornos de la conjuntiva en enfermedades clasificadas en otra parte,Outros transtornos da conjuntiva em doença classificadas em outra parte
H15,Trastornos de la esclerótica,
H15-H22,Trastornos de la esclerótica,
H150,Escleritis,Esclerite
H151,Episcleritis,Episclerite
H158,Otros trastornos de la esclerótica,Outros transtornos da esclerótica
H159,Trastorno de la esclerótica,Transtorno não especificado da esclerótica
H16,Queratitis,
H160,Úlcera de la córnea,Úlcera de córnea
H161,Otras queratitis superficiales sin conjuntivitis,Outras ceratites superficiais sem conjuntivite
H162,Queratoconjuntivitis,Ceratoconjuntivite
H163,Queratitis intersticial y profunda,Ceratites intersticial e profunda
H164,Neovascularización de la córnea,Neovascularização da córnea
H168,Otras queratitis,Outras ceratites
H169,Queratitis,Ceratite não especificada
H17,Opacidades y cicatrices corneales,
H170,Leucoma adherente,Leucoma aderente
H171,Otras opacidades centrales de la córnea,Outra opacidade central da córnea
H178,Otras opacidades o cicatrices de la córnea,Outras cicatrizes e opacidades da córnea
H179,Cicatriz u opacidad de la córnea,Cicatriz e opacidade não especificadas da córnea
H18,Otros trastornos de la córnea,
H180,Pigmentaciones y depósitos en la córnea,Pigmentações e depósitos da córnea
H181,Queratopatía vesicular,Ceratopatia bolhosa
H182,Otros edemas de la córnea,Outros edemas da córnea
H183,Cambios en las membranas de la córnea,Alterações nas membranas da córnea
H184,Degeneración de la córnea,Degenerações da córnea
H185,Distrofia hereditaria de la córnea,Distrofias hereditárias da córnea
H186,Queratocono,Ceratocone
H187,Otras deformidades de la córnea,Outras deformidades da córnea
H188,Otros trastornos especificados de la córnea,Outros transtornos especificados da córnea
H189,Trastorno de la córnea,Transtorno não especificado da córnea
H19,Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,
H190,Escleritis y episcleritis en enfermedades clasificadas en otra parte,Esclerite e episclerite em doenças classificadas em outra parte
H191,Queratitis y queratoconjuntivitis por herpes simple (B00.5),Ceratite e ceratoconjuntivite pelo vírus do herpes simples
H192,Queratitis y queratoconjuntivitis en enfermedades infecciosas y parasitarias,Ceratite e ceratoconjuntivite em outras doenças infecciosas e parasitárias classificadas em outra parte
H193,Queratitis y queratoconjuntivitis en otras enfermedades clasificadas en otra parte,Ceratite e ceratoconjuntivite em outras doenças classificadas em outra parte
H198,Otros trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,Outros transtornos de esclerótica e da córnea em doenças classificadas em outra parte
H20,Iridociclitis,
H200,Iridociclitis aguda y subaguda,Iridociclite aguda e subaguda
H201,Iridociclitis crónica,Iridociclite crônica
H202,Iridociclitis inducida por trastorno del cristalino,Iridociclite induzida pelo cristalino
H208,Otras iridociclitis especificadas,Outras iridociclites
H209,Iridociclitis,Iridociclite não especificada
H21,Otros trastornos del iris y del cuerpo ciliar,
H210,Hifema,Hifema
H211,Otros trastornos vasculares del iris y del cuerpo ciliar,Outros transtornos vasculares da íris e do corpo ciliar
H212,Degeneración del iris y del cuerpo ciliar,Degenerações da íris e do corpo ciliar
H213,Quiste del iris,"Cistos da íris, do corpo ciliar e da câmara anterior"
H214,Membranas pupilares,Membranas pupilares
H215,Otras adherencias y desgarros del iris y del cuerpo ciliar,Outras aderências e roturas da íris e do corpo ciliar
H218,Otros trastornos especificados del iris y del cuerpo ciliar,Outros transtornos especificados da íris e do corpo ciliar
H219,Trastorno del iris y del cuerpo ciliar,Transtorno não especificado da íris e do corpo ciliar
H22,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte,
H220,Iridociclitis en enfermedades infecciosas y parasitarias clasificadas en otra parte,Iridociclite em doenças infecciosas e parasitárias classificadas em outra parte
H221,Iridociclitis en otras enfermedades clasificadas en otra parte,Iridociclite em outras doenças classificadas em outra parte
H228,Otros trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte,Outros transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
H25,Catarata senil,
H25-H28,Trastornos del cristalino,
H250,Catarata senil incipiente,Catarata senil incipiente
H251,Catarata senil nuclear,Catarata senil nuclear
H252,Catarata senil,Catarata senil tipo Morgagni
H258,Otras cataratas seniles,Outras cataratas senis
H259,Catarata senil,Catarata senil não especificada
H26,Otras cataratas,
H260,Catarata infantil,"Catarata infantil, juvenil e pré-senil"
H261,Catarata traumática,Catarata traumática
H262,Catarata complicada,Catarata complicada
H263,Catarata inducida por drogas,Catarata induzida por drogas
H264,Catarata residual,Pós-catarata
H268,Otras formas especificadas de catarata,Outras cataratas especificadas
H269,Catarata,Catarata não especificada
H27,Otros trastornos del cristalino,
H270,Afaquia,Afacia
H271,Luxación del cristalino,Deslocamento do cristalino
H278,Otros trastornos especificados del cristalino,Outros transtornos especificados do cristalino
H279,Trastorno del cristalino,Transtorno não especificado do cristalino
H28,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte,
H280,Catarata diabética (E10–E14 con cuarto carácter común .3),Catarata diabética
H281,Catarata en otras enfermedades endocrinas,"Catarata em outras doenças endócrinas, nutricionais e metabólicas"
H282,Catarata en otras enfermedades clasificadas en otra parte,Catarata em outras doenças classificadas em outra parte
H288,Otros trastornos del cristalino en enfermedades clasificadas en otra parte,Outros transtorno do cristalino em doenças classificadas em outra parte
H30,Inflamación coriorretiniana,
H30-H36,Trastornos de la coroides y de la retina,
H300,Coriorretinitis focal,Inflamação coriorretiniana focal
H301,Coriorretinitis diseminada,Inflamação corrorretiniana disseminada
H302,Ciclitis posterior,Ciclite posterior
H308,Otras coriorretinitis,Outras inflamações coriorretinianas
H309,Coriorretinitis,Inflamação não especificada da coróide e da retina
H31,Otros trastornos de la coroides,
H310,Cicatrices coriorretinianas,Cicatrizes coriorretinianas
H311,Degeneración coroidea,Degeneração da coróide
H312,Distrofia coroidea hereditaria,Distrofia hereditária da coróide
H313,Hemorragia y ruptura de la coroides,Hemorragia e rotura da coróide
H314,Desprendimiento de la coroides,Descolamento da coróide
H318,Otros trastornos especificados de la coroides,Outros transtornos especificados da coróide
H319,Trastorno de la coroides,Transtorno não especificado da coróide
H32,Trastornos coriorretinianos en enfermedades clasificadas en otra parte,
H320,Inflamación coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parte,Inflamação coriorretiniana em doenças infecciosas e parasitárias classificadas em outra parte
H328,Otros trastornos coriorretinianos en enfermedades clasificadas en otra parte,Outros transtornos coriorretinianos em doenças classificadas em outra parte
H33,Desprendimiento y desgarro de la retina,
H330,Desprendimiento de la retina con ruptura,Descolamento da retina com defeito retiniano
H331,Retinosquisis y quistes de la retina,Retinosquise e cistos da retina
H332,Desprendimiento seroso de la retina,Descolamento seroso da retina
H333,Desgarro de la retina sin desprendimiento,Defeitos da retina sem descolamento
H334,Desprendimiento de la retina por tracción,Descolamento da retina por tração
H335,Otros desprendimientos de la retina,Outros descolamentos da retina
H34,Oclusión vascular de la retina,
H340,Oclusión arterial transitoria de la retina,Oclusão arterial retiniana transitória
H341,Oclusión de la arteria central de la retina,Oclusão da artéria retiniana central
H342,Otras formas de oclusión de la arteria de la retina,Outras oclusões da artéria retiniana
H348,Otras oclusiones vasculares retinianas,Outras oclusões vasculares retinianas
H349,Oclusión vascular retiniana,Oclusão vascular retiniana não especificada
H35,Otros trastornos de la retina,
H350,Retinopatías del fondo y cambios vasculares retinianos,Retinopatias de fundo e alterações vasculares da retina
H351,Retinopatía de la prematuridad,Retinopatia da prematuridade
H352,Otras retinopatías proliferativas,Outras retinopatias proliferativas
H353,Degeneración de la mácula y del polo posterior del ojo,Degeneração da mácula e do pólo posterior
H354,Degeneración periférica de la retina,Degenerações periféricas da retina
H355,Distrofia hereditaria de la retina,Distrofias hereditárias da retina
H356,Hemorragia retiniana,Hemorragia retiniana
H357,Separación de las capas de la retina,Separação das camadas da retina
H358,Otros trastornos especificados de la retina,Outros transtornos especificados da retina
H359,Trastorno de la retina,Transtorno da retina não especificado
H36,Trastornos de la retina en enfermedades clasificadas en otra parte,
H360,Retinopatía diabética (E10–E14 con cuarto carácter común .3),Retinopatia diabética
H368,Otros trastornos de la retina en enfermedades clasificadas en otra parte,Outros transtornos retinianos em doenças classificadas em outra parte
H40,Glaucoma,
H40-H42,Glaucoma,
H400,Sospecha de glaucoma,Suspeita de glaucoma
H401,Glaucoma primario de ángulo abierto,Glaucoma primário de ângulo aberto
H402,Glaucoma primario de ángulo cerrado,Glaucoma primário de ângulo fechado
H403,Glaucoma secundario a traumatismo ocular,Glaucoma secundário a traumatismo ocular
H404,Glaucoma secundario a inflamación ocular,Glaucoma secundário a inflamação ocular
H405,Glaucoma secundario a otros trastornos del ojo,Glaucoma secundário a outros transtornos do olho
H406,Glaucoma secundario a drogas,Glaucoma secundário a drogas
H408,Otros glaucomas,Outro glaucoma
H409,Glaucoma,Glaucoma não especificado
H42,Glaucoma en enfermedades clasificadas en otra parte,
H420,Glaucoma en enfermedades endocrinas,"Glaucoma em doenças endócrinas, nutricionais e metabólicas classificadas em outra parte"
H428,Glaucoma en otras enfermedades clasificadas en otra parte,Glaucoma em outras doenças classificadas em outra parte
H43,Trastornos del cuerpo vítreo,
H43-H45,Trastornos del cuerpo vítreo y del globo ocular,
H430,Prolapso del vítreo,Prolapso do humor vítreo
H431,Hemorragia del vítreo,Hemorragia do humor vítreo
H432,Depósitos cristalinos en el cuerpo vítreo,Depósitos cristalinos no humor vítreo
H433,Otras opacidades vítreas,Outras opacidades do vítreo
H438,Otros trastornos del cuerpo vítreo,Outros transtornos do humor vítreo
H439,Trastorno del cuerpo vítreo,Transtorno não especificado do humor vítreo
H44,Trastornos del globo ocular,
H440,Endoftalmitis purulenta,Endoftalmite purulenta
H441,Otras endoftalmitis,Outras endoftalmites
H442,Miopía degenerativa,Miopia degenerativa
H443,Otros trastornos degenerativos del globo ocular,Outros transtornos degenerativos do globo ocular
H444,Hipotonía ocular,Hipotonia do olho
H445,Afecciones degenerativas del globo ocular,Afecções degenerativas do globo ocular
H446,Retención intraocular de cuerpo extraño magnético (antiguo),Corpo estranho retido (antigo) intra-ocular de natureza magnética
H447,Retención intraocular de cuerpo extraño no magnético (antiguo),Corpo estranho retido (antigo) intra-ocular de natureza não-magnética
