code,description_es,description_pt
A167,Tuberculosis respiratoria primaria,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
A168,Otras tuberculosis respiratorias,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
A169,Tuberculosis respiratoria no especificada,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
A17,Tuberculosis del sistema nervioso,
A170,Meningitis tuberculosa (G01),Meningite tuberculosa
A171,Tuberculoma meníngeo (G07),Tuberculoma meníngeo
A178,Otras tuberculosis del sistema nervioso,Outras tuberculoses do sistema nervoso
A179,Tuberculosis del sistema nervioso,Tuberculose não especificada do sistema nervoso
A18,Tuberculosis de otros órganos,
A180,Tuberculosis de huesos y articulaciones,Tuberculose óssea e das articulações
A181,Tuberculosis del aparato genitourinario,Tuberculose do aparelho geniturinário
A182,Linfadenopatía periférica tuberculosa,Linfadenopatia tuberculosa periférica
A183,Tuberculosis de los intestinos,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
A184,Tuberculosis de la piel y el tejido subcutáneo,Tuberculose de pele e do tecido celular subcutâneo
A185,Tuberculosis del ojo,Tuberculose do olho
A186,Tuberculosis del oído,Tuberculose do ouvido
A187,Tuberculosis de glándulas suprarrenales (E35.1),Tuberculose das supra-renais
A188,Tuberculosis de otros órganos especificados,Tuberculose de outros órgãos especificados
A19,Tuberculosis miliar,
A190,Tuberculosis miliar aguda de un solo sitio especificado,Tuberculose miliar aguda de localização única e especificada
A191,Tuberculosis miliar aguda de sitios múltiples,Tuberculose miliar aguda de múltiplas localizações
A192,Tuberculosis miliar aguda,Tuberculose miliar aguda não especificada
A198,Otras tuberculosis miliares,Outras tuberculoses miliares
A199,Tuberculosis miliar,Tuberculose miliar não especificada
A20,Peste,
A20-A28,Ciertas zoonosis bacterianas,
A200,Peste bubónica,Peste bubônica
A201,Peste celulocutánea,Peste celulocutânea
A202,Peste neumónica,Peste pneumônica
A203,Meningitis por peste,Peste meníngea
A207,Peste septicémica,Peste septicêmica
A208,Otras formas de peste,Outras formas de peste
A209,Peste,"Peste, forma não especificada"
A21,Tularemia,
A210,Tularemia ulceroglandular,Tularemia ulceroglandular
A211,Tularemia oculoglandular,Tularemia oculoglandular
A212,Tularemia pulmonar,Tularemia pulmonar
A213,Tularemia gastrointestinal,Tularemia gastrointestinal
A217,Tularemia generalizada,Tularemia generalizada
A218,Otras formas de tularemia,Outras formas de tularemia
A219,Tularemia,"Tularemia, forma não especificada"
A22,Carbunco [ántrax],
A220,Carbunco cutáneo,Carbúnculo cutâneo
A221,Carbunco pulmonar,Carbúnculo pulmonar
A222,Carbunco gastrointestinal,Carbúnculo gastrointestinal
A227,Carbunco septicémico,Septicemia carbunculosa
A228,Otras formas de carbunco,Outras formas de carbúnculo
A229,Carbunco,"Carbúnculo, forma não especificada"
A23,Brucelosis,
A230,Brucelosis debida a Brucella melitensis,Brucelose por Brucella melitensis
A231,Brucelosis debida a Brucella abortus,Brucelose por Brucella abortus
A232,Brucelosis debida a Brucella suis,Brucelose por Brucella suis
A233,Brucelosis debida a Brucella canis,Brucelose por Brucella canis
A238,Otras brucelosis,Outras bruceloses
A239,Brucelosis,Brucelose não especificada
A24,Muermo y melioidosis,
A240,Muermo,Mormo
A241,Melioidosis aguda y fulminante,Melioidose aguda e fulminante
A242,Melioidosis subaguda y crónica,Melioidose subaguda e crônica
A243,Otras melioidosis,Outras melioidoses
A244,Melioidosis,Melioidose não especificada
A25,Fiebres por mordedura de rata,
A250,Espirilosis,Espirilose
A251,Estreptobacilosis,Estreptobacilose
A259,Fiebre por mordedura de rata,"Febre transmitida por mordedura de rato, tipo não especificado"
A26,Erisipeloide,
A260,Erisipeloide cutáneo,Erisipelóide cutâneo
A267,Septicemia por Erysipelothrix,Septicemia por Erysipelothrix
A268,Otras formas de erisipeloide,Outras formas de erisipelóide
A269,Erisipeloide,Erisipelóide não especificado
A27,Leptospirosis,
A270,Leptospirosis icterohemorrágica,Leptopirose icterohemorrágica
A278,Otras formas de leptospirosis,Outras formas de leptospirose
A279,Leptospirosis,Leptospirose não especificada
A28,Otras enfermedades zoonóticas bacterianas,
A280,Pasteurelosis,Pasteurelose
A281,Enfermedad por rasguño de gato,Doença por arranhadura do gato
A282,Yersiniosis extraintestinal,Yersiniose extra-intestinal
A288,Otras enfermedades zoonóticas bacterianas especificadas,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
A289,Enfermedad zoonótica bacteriana,Doença bacteriana zoonótica não especificada
A30,Lepra [enfermedad de Hansen],
A30-A49,Otras enfermedades bacterianas,
A300,Lepra indeterminada,Hanseníase [lepra] indeterminada
A301,Lepra tuberculoide,Hanseníase [lepra] tuberculóide
A302,Lepra tuberculoide limítrofe,Hanseníase [lepra] tuberculóide borderline
A303,Lepra limítrofe,Hanseníase [lepra] dimorfa
A304,Lepra lepromatosa limítrofe,Hanseníase [lepra] lepromatosa borderline
A305,Lepra lepromatosa,Hanseníase [lepra] lepromatosa
A308,Otras formas de lepra,Outras formas de hanseníase [lepra]
A309,Lepra,Hanseníase [lepra] não especificada
A31,Infecciones debidas a otras micobacterias,
A310,Infecciones por micobacterias pulmonares,Infecção pulmonar micobacteriana
A311,Infección cutánea por micobacterias,Infecção cutânea micobacteriana
A318,Otras infecciones por micobacterias,Outras infecções micobacterianas
A319,Infección por micobacteria,Infecção micobacteriana não especificada
A32,Listeriosis,
A320,Listeriosis cutánea,Listeriose cutânea
A321,Meningitis y meningoencefalitis listeriana,Meningite e meningoencefalite por listéria
A327,Septicemia listeriana,Septicemia listeriótica
A328,Otras formas de listeriosis,Outras formas de listeriose
A329,Listeriosis,Listeriose não especificada
A33,Tétanos neonatal,Tétano do recém-nascido [neonatal]
A34,Tétanos obstétrico,Tétano obstétrico
A35,Otros tétanos,Outros tipos de tétano
A36,Difteria,
A360,Difteria faríngea,Difteria faríngea
A361,Difteria nasofaríngea,Difteria nasofaríngea
A362,Difteria laríngea,Difteria laríngea
A363,Difteria cutánea,Difteria cutânea
A368,Otras difterias,Outras formas de difteria
A369,Difteria,Difteria não especificada
A37,Tos ferina [tos convulsiva],
A370,Tos ferina debida a Bordetella pertussis,Coqueluche por Bordetella pertussis
A371,Tos ferina debida a Bordetella parapertussis,Coqueluche por Bordetella parapertussis
A378,Tos ferina debida a otras especies de Bordetella,Coqueluche por outras espécies da Bordetella
A379,Tos ferina,Coqueluche não especificada
A38,Escarlatina,Escarlatina
A39,Enfermedad meningocócica,
A390,Meningitis meningocócica (G01),Meningite meningocócica
A391,Síndrome de Waterhouse-Friderichsen (E35.1),Síndrome de Waterhouse-Friderichsen
A392,Meningococemia aguda,Meningococcemia aguda
A393,Meningococemia crónica,Meningococcemia crônica
A394,Meningococemia,Meningococcemia não especificada
A395,Enfermedad cardíaca debida a meningococo,Cardite por meningococos
A398,Otras formas de enfermedad meningocócica:,Outras infecções por meningococos
A399,Enfermedad meningocócica,Infecção meningocócica não especificada
A40,Septicemia estreptocócica,
A400,Septicemia debida a estreptococo,Septicemia por Streptococcus do grupo A
A401,Septicemia debida a estreptococo,Septicemia por Streptococcus do grupo B
A402,Septicemia debida a estreptococo,Septicemia por Streptococcus do grupo D
A403,Septicemia debida a Streptococcus pneumoniae,Septicemia por Streptococcus pneumonia
A408,Otras septicemias estreptocócicas,Outras septicemias estreptocócicas
A409,Septicemia estreptocócica,Septicemia estreptocócica não especificada
A41,Otras septicemias,
A410,Septicemia debida a Staphylococcus aureus,Septicemia por Staphylococcus aureus
A411,Septicemia debida a otro estafilococo especificado,Septicemia por outros estafilococos especificados
A412,Septicemia debida a estafilococo no especificado,Septicemia por estafilococos não especificados
A413,Septicemia debida a Haemophilus influenzae,Septicemia por Haemophilus influenzae
A414,Septicemia debida a anaerobios,Septicemia por anaeróbios
A415,Septicemia debida a otros organismos gramnegativos,Septicemia por outros microorganismos gram-negativos
A418,Otras septicemias especificadas,Outras septicemias especificadas
A419,Septicemia,Septicemia não especificada
A42,Actinomicosis,
A420,Actinomicosis pulmonar,Actinomicose pulmonar
A421,Actinomicosis abdominal,Actinomicose abdominal
A422,Actinomicosis cervicofacial,Actinomicose cervicofacial
A427,Septicemia actinomicótica,Septicemia actinomicótica
A428,Otras formas de actinomicosis,Outras formas de actinomicose
A429,Actinomicosis,Actinomicose não especificada
A43,Nocardiosis,
A430,Nocardiosis pulmonar,Nocardiose pulmonar
A431,Nocardiosis cutánea,Nocardiose cutânea
A438,Otras formas de nocardiosis,Outras formas de nocardiose
A439,Nocardiosis,Nocardiose não especificada
A44,Bartonelosis,
A440,Bartonelosis sistémica,Bartonelose sistêmica
A441,Bartonelosis cutánea y mucocutánea,Bartonelose cutânea e cutâneo-mucosa
A448,Otras formas de bartonelosis,Outras formas de bartonelose
A449,Bartonelosis,Bartonelose não especificada
A46,Erisipela,Erisipela
A48,Otras enfermedades bacterianas,
A480,Gangrena gaseosa,Gangrena gasosa
A481,Enfermedad de los legionarios,Doença dos legionários
A482,Enfermedad de los legionarios no neumónica [fiebre de Pontiac],Doença dos legionários não-pneumônica [febre de Pontiac]
A483,Síndrome del choque tóxico,Síndrome do choque tóxico
A484,Fiebre purpúrica brasileña,Febre purpúrica do Brasil
A488,Otras enfermedades bacterianas especificadas,Outras doenças bacterianas especificadas
A49,Infección bacteriana de sitio no especificado,
A490,Infección estafilocócica,Infecção estafilocócica de localização não especificada
A491,Infección estreptocócica,Infecção estreptocócica de localização não especificada
A492,Infección por Haemophilus influenzae,Infecção por Haemophilus influenzae de localização não especificada
A493,Infección por micoplasma,Infecção por Mycoplasma de localização não especificada
A498,Otras infecciones bacterianas,Outras infecções bacterianas de localização não especificada
A499,Infección bacteriana,Infecção bacteriana não especificada
A50,Sífilis congénita,
A50-A64,predominantemente sexual,
A500,Sífilis congénita precoz,Sífilis congênita precoce sintomática
A501,Sífilis congénita precoz,"Sífilis congênita precoce, forma latente"
A502,Sífilis congénita precoz,Sífilis congênita precoce não especificada
A503,Oculopatía sifilítica congénita tardía,Oculopatia sifilítica congênita tardia
A504,Neurosífilis congénita tardía [neurosífilis juvenil],Neurossífilis congênita tardia [neurossífilis juvenil]
A505,Otras formas de sífilis congénita tardía,Outras formas tardias e sintomáticas da sífilis congênita
A506,Sífilis congénita tardía,Sífilis congênita tardia latente
A507,Sífilis congénita tardía,Sífilis congênita tardia não especificada
A509,Sífilis congénita,Sífilis congênita não especificada
A51,Sífilis precoz,
A510,Sífilis genital primaria,Sífilis genital primária
A511,Sífilis primaria anal,Sífilis anal primária
A512,Sífilis primaria en otros sitios,Sífilis primária de outras localizações
A513,Sífilis secundaria de piel y membranas mucosas,Sífilis secundária da pele e das mucosas
A514,Otras sífilis secundarias,Outras formas de sífilis secundária
